time,id,temp,hum,PM1,PM2.5,PM10
2021-03-19 12:55:16 CET,238,10.6,37.3,5.39,5.93,5.93
2021-03-19 13:00:16 CET,239,8.3,41.4,4.67,8.85,13.1
2021-03-19 13:05:19 CET,240,16.8,29.8,9.42,10.38,10.38
2021-03-19 13:10:16 CET,241,16.8,29.8,9.12,12.21,14.69
2021-03-19 13:15:19 CET,242,16.4,30.0,4.53,7.88,11.2
2021-03-19 13:20:16 CET,243,16.5,29.9,9.7,20.16,31.05
2021-03-19 13:25:16 CET,244,12.6,32.4,9.31,13.52,17.27
2021-03-19 13:30:16 CET,245,17.7,26.8,9.42,10.38,10.38
2021-03-19 13:35:16 CET,246,12.3,33.6,5.39,5.93,5.93
2021-03-19 13:40:17 CET,247,18.0,27.6,8.18,17.49,27.23
2021-03-19 13:45:18 CET,248,12.3,33.9,5.39,5.93,5.93
2021-03-19 13:50:16 CET,249,8.0,42.1,10.27,20.14,30.29
2021-03-19 13:55:17 CET,250,9.1,41.3,11.16,22.44,34.1
2021-03-19 14:00:17 CET,251,8.2,43.8,5.18,8.42,11.54
2021-03-19 14:05:16 CET,252,8.0,42.9,5.82,12.85,20.25
2021-03-19 14:10:17 CET,253,8.6,42.6,4.14,9.09,14.3
2021-03-19 14:15:16 CET,254,17.9,29.6,3.68,5.91,8.03
2021-03-19 14:20:17 CET,255,21.5,25.9,5.9,9.52,13.0
2021-03-19 14:25:16 CET,256,17.2,26.5,7.41,8.16,8.16
2021-03-19 14:30:16 CET,257,20.4,25.1,11.54,21.1,30.75
2021-03-19 14:35:16 CET,258,16.1,28.6,8.08,8.9,8.9
2021-03-19 14:40:17 CET,259,20.2,25.2,4.71,5.19,5.19
2021-03-19 14:45:19 CET,260,21.9,23.3,5.03,11.31,17.95
2021-03-19 14:50:16 CET,261,22.0,23.2,5.1,7.87,10.45
2021-03-19 14:55:16 CET,262,24.3,20.8,6.39,8.94,11.14
2021-03-19 15:00:24 CET,263,18.7,26.4,7.41,12.1,16.63
2021-03-19 15:05:17 CET,264,18.8,26.3,2.69,2.97,2.97
2021-03-19 15:10:19 CET,265,13.1,28.0,4.34,10.46,17.0
2021-03-19 15:15:16 CET,266,13.1,28.0,5.15,12.14,19.57
2021-03-19 15:20:16 CET,267,11.3,31.1,8.13,21.02,34.91
2021-03-19 15:25:16 CET,268,10.7,33.0,6.85,12.16,17.46
2021-03-19 15:30:16 CET,269,12.2,32.2,4.04,4.45,4.45
2021-03-19 15:35:18 CET,270,16.8,26.5,6.43,13.19,20.2
2021-03-19 15:40:16 CET,271,16.8,26.6,10.1,11.13,11.13
2021-03-19 15:45:16 CET,272,18.7,26.0,4.31,6.33,8.14
2021-03-19 15:50:16 CET,273,16.6,28.3,4.87,14.14,24.23
2021-03-19 15:55:16 CET,274,17.4,27.5,4.96,14.75,25.43
2021-03-19 16:00:16 CET,275,12.3,31.3,6.42,17.05,28.51
2021-03-19 16:05:16 CET,276,10.7,34.3,4.04,4.45,4.45
2021-03-19 16:10:16 CET,277,9.9,35.7,3.56,9.0,14.84
2021-03-19 16:15:16 CET,278,9.4,36.2,7.37,15.77,24.58
2021-03-19 16:20:16 CET,279,9.0,37.6,4.71,5.19,5.19
2021-03-19 16:25:21 CET,280,9.7,35.3,3.9,7.4,10.98
2021-03-19 16:30:17 CET,281,9.6,35.3,5.39,5.93,5.93
2021-03-19 16:35:16 CET,282,9.0,45.3,7.89,19.35,31.61
2021-03-19 16:40:16 CET,283,8.2,51.7,11.32,35.3,61.57
2021-03-19 16:45:16 CET,284,7.6,54.0,4.37,6.74,8.96
2021-03-19 16:50:17 CET,285,7.5,55.5,4.6,12.27,20.55
2021-03-19 16:55:17 CET,286,7.1,56.6,6.71,15.11,23.99
2021-03-19 17:00:17 CET,287,6.5,58.9,7.96,11.99,15.69
2021-03-19 17:05:17 CET,288,6.2,59.8,7.3,19.19,32.01
2021-03-19 17:10:17 CET,289,6.3,60.0,4.71,5.19,5.19
2021-03-19 17:15:17 CET,290,6.3,60.7,5.39,5.93,5.93
2021-03-19 17:20:16 CET,291,6.4,59.9,4.95,6.87,8.49
2021-03-19 17:25:16 CET,292,6.0,59.8,0.67,0.74,0.74
2021-03-19 17:30:16 CET,293,5.7,60.7,3.7,9.92,16.65
2021-03-19 17:35:19 CET,294,5.6,60.9,3.37,3.71,3.71
2021-03-19 17:40:16 CET,295,5.6,61.0,10.92,12.93,13.95
2021-03-19 17:45:16 CET,296,5.9,60.6,5.85,17.0,29.14
2021-03-19 17:50:18 CET,297,5.3,62.1,3.37,3.71,3.71
2021-03-19 17:55:16 CET,298,5.3,62.2,7.19,10.59,13.67
2021-03-19 18:00:16 CET,299,5.3,62.4,8.05,12.6,16.9
2021-03-19 18:05:16 CET,300,5.4,61.7,4.34,10.48,17.03
2021-03-19 18:10:16 CET,301,5.2,62.7,8.08,8.9,8.9
2021-03-19 18:15:16 CET,302,5.0,62.7,2.08,6.55,11.44
2021-03-19 18:20:16 CET,303,4.8,63.7,2.02,2.23,2.23
2021-03-19 18:25:16 CET,304,4.9,63.0,7.83,15.02,22.38
2021-03-19 18:30:19 CET,305,4.7,63.1,5.93,13.66,21.86
2021-03-19 18:35:17 CET,306,4.7,63.1,13.41,18.38,22.53
2021-03-19 18:40:17 CET,307,4.5,64.0,5.39,5.93,5.93
2021-03-19 18:45:16 CET,308,4.5,64.4,8.57,16.23,24.03
2021-03-19 18:50:16 CET,309,4.3,65.5,2.02,2.23,2.23
2021-03-19 18:55:21 CET,310,4.3,66.4,8.51,15.83,23.25
2021-03-19 19:00:16 CET,311,4.3,66.4,10.32,28.35,47.89
2021-03-19 19:05:16 CET,312,4.2,67.1,4.19,9.45,15.01
2021-03-19 19:10:16 CET,313,4.0,68.1,1.19,4.35,7.84
2021-03-19 19:15:23 CET,314,4.0,68.4,6.8,11.78,16.72
2021-03-19 19:20:16 CET,315,4.0,68.6,2.36,4.6,6.89
2021-03-19 19:25:16 CET,316,4.0,68.9,6.73,7.42,7.42
2021-03-19 19:30:16 CET,317,3.8,68.6,3.57,5.13,6.5
2021-03-19 19:35:16 CET,318,3.9,68.7,1.56,2.99,4.45
2021-03-19 19:40:16 CET,319,4.1,71.1,4.04,4.45,4.45
2021-03-19 19:45:16 CET,320,3.8,73.2,7.33,19.38,32.39
2021-03-19 19:50:16 CET,321,3.7,73.9,6.61,14.45,22.69
2021-03-19 19:55:16 CET,322,3.7,73.3,1.35,1.48,1.48
2021-03-19 20:00:17 CET,323,3.9,72.1,8.49,15.69,22.97
